subject	Name	Domain	Acceleration	Instrument	Jerk	Magnitude	Variable	count	average
2	fBodyAcc-std()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	302	-0.464723862913245
2	fBodyAcc-std()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	302	-0.600678614835099
2	fBodyAccJerk-mean()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	302	-0.561682049622185
2	fBodyAccJerk-mean()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	302	-0.50890379901457
2	fBodyAccJerk-mean()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	302	-0.715745330403973
2	fBodyAccJerk-std()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	302	-0.595105612895033
2	fBodyAccJerk-std()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	302	-0.509147543673841
2	fBodyAccJerk-std()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	302	-0.767087015496689
2	fBodyAccMag-mean()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	302	-0.514569861316887
2	fBodyAccMag-std()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	302	-0.646662308457285
2	fBodyBodyAccJerkMag-mean()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	302	-0.509746432970861
2	fBodyBodyAccJerkMag-std()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	302	-0.518800797709272
2	fBodyBodyGyroJerkMag-mean()	Time1	NA	Accelerometer1	fJerk2	Magnitude	SD1	302	-0.751615078360927
2	fBodyBodyGyroJerkMag-std()	Time1	NA	Accelerometer1	fJerk2	Magnitude	SD1	302	-0.744194981440397
2	fBodyBodyGyroMag-mean()	Time1	NA	Accelerometer1	fJerk1	Magnitude	SD1	302	-0.699742945221854
2	fBodyBodyGyroMag-std()	Time1	NA	Accelerometer1	fJerk1	Magnitude	SD1	302	-0.725310337688742
2	fBodyGyro-mean()-X	Time2	NA	Accelerometer2	fJerk1	NA	SD2	302	-0.638717694593046
2	fBodyGyro-mean()-Y	Time3	NA	Accelerometer3	fJerk1	NA	SD3	302	-0.722068978635762
2	fBodyGyro-mean()-Z	Time4	NA	Accelerometer4	fJerk1	NA	SD4	302	-0.601594889654305
2	fBodyGyro-std()-X	Time2	NA	Accelerometer2	fJerk1	NA	SD2	302	-0.734588540182119
2	fBodyGyro-std()-Y	Time3	NA	Accelerometer3	fJerk1	NA	SD3	302	-0.72716774102649
2	fBodyGyro-std()-Z	Time4	NA	Accelerometer4	fJerk1	NA	SD4	302	-0.683114494539735
2	tBodyAcc-mean()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	302	0.27311311578808
2	tBodyAcc-mean()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	302	-0.0191323183174834
2	tBodyAcc-mean()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	302	-0.115649958175497
2	tBodyAcc-std()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	302	-0.605586497159271
2	tBodyAcc-std()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	302	-0.428962986589404
2	tBodyAcc-std()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	302	-0.589360062210596
2	tBodyAccJerk-mean()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	302	0.0785353156747351
2	tBodyAccJerk-mean()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	302	0.00708771249764901
2	tBodyAccJerk-mean()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	302	0.000755760748377483
2	tBodyAccJerk-std()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	302	-0.557809603123841
2	tBodyAccJerk-std()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	302	-0.491875889831788
2	tBodyAccJerk-std()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	302	-0.741885388311258
2	tBodyAccJerkMag-mean()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	302	-0.587777445435431
2	tBodyAccJerkMag-std()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	302	-0.512115278415232
2	tBodyAccMag-mean()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	302	-0.535281800541722
2	tBodyAccMag-std()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	302	-0.552812545643709
2	tBodyGyro-mean()-X	Time2	NA	Accelerometer2	fJerk1	NA	SD2	302	-0.0517030657821192
2	tBodyGyro-mean()-Y	Time3	NA	Accelerometer3	fJerk1	NA	SD3	302	-0.0568420186817881
2	tBodyGyro-mean()-Z	Time4	NA	Accelerometer4	fJerk1	NA	SD4	302	0.0872599422291391
2	tBodyGyro-std()-X	Time2	NA	Accelerometer2	fJerk1	NA	SD2	302	-0.710648927815894
2	tBodyGyro-std()-Y	Time3	NA	Accelerometer3	fJerk1	NA	SD3	302	-0.722943674337748
2	tBodyGyro-std()-Z	Time4	NA	Accelerometer4	fJerk1	NA	SD4	302	-0.634888927843046
2	tBodyGyroJerk-mean()-X	Time2	NA	Accelerometer2	fJerk2	NA	SD2	302	-0.0875587491668874
2	tBodyGyroJerk-mean()-Y	Time3	NA	Accelerometer3	fJerk2	NA	SD3	302	-0.0433986835453642
2	tBodyGyroJerk-mean()-Z	Time4	NA	Accelerometer4	fJerk2	NA	SD4	302	-0.0557541828188742
2	tBodyGyroJerk-std()-X	Time2	NA	Accelerometer2	fJerk2	NA	SD2	302	-0.671679103311258
2	tBodyGyroJerk-std()-Y	Time3	NA	Accelerometer3	fJerk2	NA	SD3	302	-0.783595466728477
2	tBodyGyroJerk-std()-Z	Time4	NA	Accelerometer4	fJerk2	NA	SD4	302	-0.674611933293046
2	tBodyGyroJerkMag-mean()	Time1	NA	Accelerometer1	fJerk2	Magnitude	SD1	302	-0.746559539039735
2	tBodyGyroJerkMag-std()	Time1	NA	Accelerometer1	fJerk2	Magnitude	SD1	302	-0.740088733655629
2	tBodyGyroMag-mean()	Time1	NA	Accelerometer1	fJerk1	Magnitude	SD1	302	-0.614771054893146
2	tBodyGyroMag-std()	Time1	NA	Accelerometer1	fJerk1	Magnitude	SD1	302	-0.680584887880795
2	tGravityAcc-mean()-X	Time2	Gravity	Accelerometer2	fJerk1	NA	SD2	302	0.660782866688742
2	tGravityAcc-mean()-Y	Time3	Gravity	Accelerometer3	fJerk1	NA	SD3	302	-0.147219886910411
2	tGravityAcc-mean()-Z	Time4	Gravity	Accelerometer4	fJerk1	NA	SD4	302	0.134865335090728
2	tGravityAcc-std()-X	Time2	Gravity	Accelerometer2	fJerk1	NA	SD2	302	-0.963015508245033
2	tGravityAcc-std()-Y	Time3	Gravity	Accelerometer3	fJerk1	NA	SD3	302	-0.960033560165563
2	tGravityAcc-std()-Z	Time4	Gravity	Accelerometer4	fJerk1	NA	SD4	302	-0.945365383907285
2	tGravityAccMag-mean()	Time1	Gravity	Accelerometer1	fJerk1	Magnitude	SD1	302	-0.535281800541722
2	tGravityAccMag-std()	Time1	Gravity	Accelerometer1	fJerk1	Magnitude	SD1	302	-0.552812545643709
3	NA	Time1	NA	Accelerometer1	fJerk1	NA	SD1	168795	-0.512631911849534
3	fBodyAcc-mean()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	341	-0.625733289873607
3	fBodyAcc-mean()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	341	-0.501779938505279
3	fBodyAcc-mean()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	341	-0.699656828592375
3	fBodyAcc-std()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	341	-0.623805015199413
3	fBodyAcc-std()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	341	-0.502753639795894
3	fBodyAcc-std()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	341	-0.657443765803519
3	fBodyAccJerk-mean()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	341	-0.645893496630499
3	fBodyAccJerk-mean()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	341	-0.582949919157742
3	fBodyAccJerk-mean()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	341	-0.780101644193548
3	fBodyAccJerk-std()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	341	-0.657844055881525
3	fBodyAccJerk-std()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	341	-0.559851186088408
3	fBodyAccJerk-std()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	341	-0.81080601659824
3	fBodyAccMag-mean()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	341	-0.579076453758064
3	fBodyAccMag-std()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	341	-0.663079838985044
3	fBodyBodyAccJerkMag-mean()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	341	-0.604752108072727
3	fBodyBodyAccJerkMag-std()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	341	-0.615643694857361
3	fBodyBodyGyroJerkMag-mean()	Time1	NA	Accelerometer1	fJerk2	Magnitude	SD1	341	-0.810085498651026
3	fBodyBodyGyroJerkMag-std()	Time1	NA	Accelerometer1	fJerk2	Magnitude	SD1	341	-0.810032718739003
3	fBodyBodyGyroMag-mean()	Time1	NA	Accelerometer1	fJerk1	Magnitude	SD1	341	-0.716822144279179
3	fBodyBodyGyroMag-std()	Time1	NA	Accelerometer1	fJerk1	Magnitude	SD1	341	-0.703839403007038
3	fBodyGyro-mean()-X	Time2	NA	Accelerometer2	fJerk1	NA	SD2	341	-0.642097719778592
3	fBodyGyro-mean()-Y	Time3	NA	Accelerometer3	fJerk1	NA	SD3	341	-0.775144985073314
3	fBodyGyro-mean()-Z	Time4	NA	Accelerometer4	fJerk1	NA	SD4	341	-0.670734708996481
3	fBodyGyro-std()-X	Time2	NA	Accelerometer2	fJerk1	NA	SD2	341	-0.719276622702346
3	fBodyGyro-std()-Y	Time3	NA	Accelerometer3	fJerk1	NA	SD3	341	-0.758505287214076
3	fBodyGyro-std()-Z	Time4	NA	Accelerometer4	fJerk1	NA	SD4	341	-0.751008875659824
3	tBodyAcc-mean()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	341	0.273428719636364
3	tBodyAcc-mean()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	341	-0.017856067384956
3	tBodyAcc-mean()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	341	-0.106492632429097
3	tBodyAcc-std()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	341	-0.623413602046921
3	tBodyAcc-std()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	341	-0.480015920697654
3	tBodyAcc-std()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	341	-0.653625579293255
3	tBodyAccJerk-mean()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	341	0.0701731261988856
3	tBodyAccJerk-mean()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	341	0.0144664329060411
3	tBodyAccJerk-mean()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	341	-0.000526818872875366
3	tBodyAccJerk-std()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	341	-0.635484688041056
3	tBodyAccJerk-std()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	341	-0.55721186773783
3	tBodyAccJerk-std()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	341	-0.796066240234604
3	tBodyAccJerkMag-mean()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	341	-0.650182434328446
3	tBodyAccJerkMag-std()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	341	-0.607658214170381
3	tBodyAccMag-mean()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	341	-0.563140802770059
3	tBodyAccMag-std()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	341	-0.591224780306452
3	tBodyGyro-mean()-X	Time2	NA	Accelerometer2	fJerk1	NA	SD2	341	-0.0248490682828446
3	tBodyGyro-mean()-Y	Time3	NA	Accelerometer3	fJerk1	NA	SD3	341	-0.0743565308442815
3	tBodyGyro-mean()-Z	Time4	NA	Accelerometer4	fJerk1	NA	SD4	341	0.0866875497119062
3	tBodyGyro-std()-X	Time2	NA	Accelerometer2	fJerk1	NA	SD2	341	-0.699262195705865
3	tBodyGyro-std()-Y	Time3	NA	Accelerometer3	fJerk1	NA	SD3	341	-0.76302218170088
3	tBodyGyro-std()-Z	Time4	NA	Accelerometer4	fJerk1	NA	SD4	341	-0.709483440322581
3	tBodyGyroJerk-mean()-X	Time2	NA	Accelerometer2	fJerk2	NA	SD2	341	-0.0991554609633431
3	tBodyGyroJerk-mean()-Y	Time3	NA	Accelerometer3	fJerk2	NA	SD3	341	-0.0401923943695015
3	tBodyGyroJerk-mean()-Z	Time4	NA	Accelerometer4	fJerk2	NA	SD4	341	-0.0521178264170088
3	tBodyGyroJerk-std()-X	Time2	NA	Accelerometer2	fJerk2	NA	SD2	341	-0.689328428607038
3	tBodyGyroJerk-std()-Y	Time3	NA	Accelerometer3	fJerk2	NA	SD3	341	-0.842659862111437
3	tBodyGyroJerk-std()-Z	Time4	NA	Accelerometer4	fJerk2	NA	SD4	341	-0.743028500565982
3	tBodyGyroJerkMag-mean()	Time1	NA	Accelerometer1	fJerk2	Magnitude	SD1	341	-0.784056656246334
3	tBodyGyroJerkMag-std()	Time1	NA	Accelerometer1	fJerk2	Magnitude	SD1	341	-0.80366136372434
3	tBodyGyroMag-mean()	Time1	NA	Accelerometer1	fJerk1	Magnitude	SD1	341	-0.643150121648094
3	tBodyGyroMag-std()	Time1	NA	Accelerometer1	fJerk1	Magnitude	SD1	341	-0.674010290979472
3	tGravityAcc-mean()-X	Time2	Gravity	Accelerometer2	fJerk1	NA	SD2	341	0.707814353343108
3	tGravityAcc-mean()-Y	Time3	Gravity	Accelerometer3	fJerk1	NA	SD3	341	-0.0260590480328739
3	tGravityAcc-mean()-Z	Time4	Gravity	Accelerometer4	fJerk1	NA	SD4	341	0.0480937904190616
3	tGravityAcc-std()-X	Time2	Gravity	Accelerometer2	fJerk1	NA	SD2	341	-0.966457565630499
3	tGravityAcc-std()-Y	Time3	Gravity	Accelerometer3	fJerk1	NA	SD3	341	-0.9445645371261
3	tGravityAcc-std()-Z	Time4	Gravity	Accelerometer4	fJerk1	NA	SD4	341	-0.926966278211144
3	tGravityAccMag-mean()	Time1	Gravity	Accelerometer1	fJerk1	Magnitude	SD1	341	-0.563140802770059
3	tGravityAccMag-std()	Time1	Gravity	Accelerometer1	fJerk1	Magnitude	SD1	341	-0.591224780306452
4	NA	Time1	NA	Accelerometer1	fJerk1	NA	SD1	156915	-0.5148702379353
4	fBodyAcc-mean()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	317	-0.628806379100946
4	fBodyAcc-mean()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	317	-0.52583456615142
4	fBodyAcc-mean()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	317	-0.755235428895899
4	fBodyAcc-std()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	317	-0.597551324155678
4	fBodyAcc-std()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	317	-0.534661524341987
4	fBodyAcc-std()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	317	-0.708764043722397
4	fBodyAccJerk-mean()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	317	-0.652023078038801
4	fBodyAccJerk-mean()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	317	-0.601696223759495
4	fBodyAccJerk-mean()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	317	-0.825154871135647
4	fBodyAccJerk-std()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	317	-0.644622004704416
4	fBodyAccJerk-std()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	317	-0.593855151524606
4	fBodyAccJerk-std()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	317	-0.860544668359622
4	fBodyAccMag-mean()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	317	-0.602098037677603
4	fBodyAccMag-std()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	317	-0.672948341687697
4	fBodyBodyAccJerkMag-mean()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	317	-0.63501900541041
4	fBodyBodyAccJerkMag-std()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	317	-0.666506718936908
4	fBodyBodyGyroJerkMag-mean()	Time1	NA	Accelerometer1	fJerk2	Magnitude	SD1	317	-0.838833209652997
4	fBodyBodyGyroJerkMag-std()	Time1	NA	Accelerometer1	fJerk2	Magnitude	SD1	317	-0.863096864037855
4	fBodyBodyGyroMag-mean()	Time1	NA	Accelerometer1	fJerk1	Magnitude	SD1	317	-0.745650754608833
4	fBodyBodyGyroMag-std()	Time1	NA	Accelerometer1	fJerk1	Magnitude	SD1	317	-0.732586304826498
4	fBodyGyro-mean()-X	Time2	NA	Accelerometer2	fJerk1	NA	SD2	317	-0.641881977553943
4	fBodyGyro-mean()-Y	Time3	NA	Accelerometer3	fJerk1	NA	SD3	317	-0.831527531009464
4	fBodyGyro-mean()-Z	Time4	NA	Accelerometer4	fJerk1	NA	SD4	317	-0.689308946422713
4	fBodyGyro-std()-X	Time2	NA	Accelerometer2	fJerk1	NA	SD2	317	-0.721749187328076
4	fBodyGyro-std()-Y	Time3	NA	Accelerometer3	fJerk1	NA	SD3	317	-0.782885735867508
4	fBodyGyro-std()-Z	Time4	NA	Accelerometer4	fJerk1	NA	SD4	317	-0.7670895729653
4	tBodyAcc-mean()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	317	0.274183111498423
4	tBodyAcc-mean()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	317	-0.0148081545344921
4	tBodyAcc-mean()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	317	-0.107521430810726
4	tBodyAcc-std()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	317	-0.605211727785489
4	tBodyAcc-std()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	317	-0.509929384011325
4	tBodyAcc-std()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	317	-0.709492735962145
4	tBodyAccJerk-mean()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	317	0.078863784515142
4	tBodyAccJerk-mean()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	317	0.00351340949514196
4	tBodyAccJerk-mean()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	317	-0.00737375142832808
4	tBodyAccJerk-std()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	317	-0.631853083289621
4	tBodyAccJerk-std()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	317	-0.584063204701893
4	tBodyAccJerk-std()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	317	-0.843353231167193
4	tBodyAccJerkMag-mean()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	317	-0.656116311856877
4	tBodyAccJerkMag-std()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	317	-0.647249966810726
4	tBodyAccMag-mean()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	317	-0.56158213510694
4	tBodyAccMag-std()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	317	-0.606556049548896
